[-0.01509242  0.02832336],[-0.01509185 -0.99988611]
[-0.18860664  0.16786089],[-0.18749043 -0.98226643]
[-0.01405313  0.0234369 ],[-0.01405267 -0.99990126]
[ 0.03028747 -0.23968161],[ 0.03028284 -0.99954137]
[0.00510885 0.00689849],[ 0.00510883 -0.99998695]
[ 0.16287869 -0.69944822],[ 0.16215947 -0.98676456]
[-0.01588192  0.00426686],[-0.01588125 -0.99987388]
[0.00545164 0.0564278 ],[ 0.00545161 -0.99998514]
[-0.00206774 -0.09300401],[-0.00206773 -0.99999786]
[-0.00442225 -0.04371874],[-0.00442223 -0.99999022]
[0.04080355 0.02091296],[ 0.04079223 -0.99916765]
[ 0.00950563 -0.08009366],[ 0.00950549 -0.99995482]
[ 0.01828255 -0.06443103],[ 0.01828153 -0.99983288]
[-0.00858165  0.00503634],[-0.00858154 -0.99996318]
[0.03612988 0.06329928],[ 0.03612202 -0.99934739]
[0.03677722 0.02128552],[ 0.03676893 -0.99932379]
[0.15938764 0.17299797],[ 0.15871364 -0.98732466]
[-0.0553749  -0.06160018],[-0.0553466 -0.9984672]
[-0.00423305  0.01251586],[-0.00423303 -0.99999104]
[-0.0128439   0.02041704],[-0.01284354 -0.99991752]
[-0.08157029 -0.10179172],[-0.08147987 -0.99667499]
[-0.00339916  0.09800474],[-0.00339915 -0.99999422]
[ 0.39638386 -2.02824667],[ 0.38608512 -0.92246316]
[-0.39393239  1.89529458],[-0.38382257 -0.92340686]
[-0.06615677  0.97332567],[-0.06610852 -0.99781244]
[0.01222748 0.03621403],[ 0.01222718 -0.99992525]
[-0.04659282  0.98242695],[-0.04657597 -0.99891475]
[-0.01831253  0.07008645],[-0.0183115  -0.99983233]
[ 0.09955199 -0.06980219],[ 0.09938763 -0.99504879]
[-0.32510022 -0.0223419 ],[-0.31940376 -0.94761872]
[-0.00512064 -0.11254839],[-0.00512061 -0.99998689]
[ 0.01218481 -0.02805064],[ 0.01218451 -0.99992577]
[5.89458440e-05 3.60203222e-02],[ 5.89458440e-05 -9.99999998e-01]
[-0.0793221   0.00956094],[-0.07923895 -0.99685565]
[0.00580019 0.06261527],[ 0.00580015 -0.99998318]
[-0.25132102  0.95000412],[-0.2486837  -0.96858475]
[0.00368846 0.01809268],[ 0.00368846 -0.9999932 ]
[-0.00861998 -0.04878155],[-0.00861987 -0.99996285]
[-0.0143684  -0.02172469],[-0.01436791 -0.99989678]
[0.03085006 0.04366141],[ 0.03084517 -0.99952417]
[ 0.22319914 -0.14776875],[ 0.22135053 -0.97519431]
[-0.00694445 -0.04011069],[-0.00694439 -0.99997589]
[0.00865663 0.03943913],[ 0.00865652 -0.99996253]
[0.02417262 0.02046691],[ 0.02417026 -0.99970786]
